,No,Nama Kolom,Nama Kolom Baru,Description
0,1,title,-,Judul sebuah lagu
1,2,artist,-,Artis yang menyanyikan lagu tersebut
2,3,top genre,genre,Genre atau jenis lagu
3,4,year,-,Tahun saat lagu tersebut dirilis
4,5,added,-,Tahun saat lagu tersebut dimasukkan ke Spotify
5,6,bpm,-,Tempo lagu (Beat Per Minute)
6,7,nrgy,energy,Energi dari sebuah lagu. Semakin tinggi nilainya menandakan lagu tersebut semakin energik
7,8,dnce,danceability,"Nilai yang menyatakan apakah lagu tersebut dapat dipakai untuk lagu menari atau tidak. 

Semakin tinggi nilainya, maka lagu tersebut dikatakan dapat digunakan untuk menari."
8,9,dB,db,Nilai yang menyatakan tingkat kekerasan suara suatu lagu. Nilai berkisar antara -60 dB hingga 0dB
9,10,live,liveness,"Nilai yang menyatakan kehadiran penonton dalam lagu. 

Semakin tinggi nilainya, maka kemungkinan besar lagu tersebut direkam saat Live"
10,11,val,valence,"Nilai yang menyatakan tingkat positivity sebuah lagu. 

Semakin tinggi nilainya, maka diasumsikan bahwa lagu tersebut berkaitan dengan emosi positif (senang, gembira). Semakin kecil nilainya, maka diasumsikan bahwa lagu tersebut berkaitan dengan emosi negatif (sedih, marah, takut, dll)"
11,12,dur,duration,Durasi sebuah lagu (dalam detik)
12,13,acous,acousticness,"Nilai yang menyatakan seberapa akustik lagu tersebut. 

Semakin tinggi nilainya, maka lagu tersebut berjenis akustik"
13,14,spch,speechiness,Nilai yang menyatakan seberapa banyak jenis suara manusia disuatu lagu yang bukan termasuk vokal.
14,15,pop,popularity,Popularitas sebuah lagu. Nilai berkisar antara 0-100.
15,16,country,-,Negara dimana lagu tersebut populer
